gpa,skills,interest_area,experience_level,personality_type,availability_hours,communication_score,leadership_score,proposed_topic,topic_description,domain_interest,text_features,Group_ID,Group_Size
3.25,"Python, Django, PostgreSQL",DevOps,Intermediate,Introvert,9,2,2,AI Optimization Tool,Prototypes a cutting-edge ai & nlp application using emerging technologies.,AI & NLP,"Python, Django, PostgreSQL DevOps Intermediate Introvert AI & NLP",32,4
2.68,"Java, Spring Boot, MySQL",Deep Learning,Intermediate,Neutral,13,3,5,Chatbot Management Dashboard,Implements a nlp system to solve real-world problems in academic settings.,NLP,"Java, Spring Boot, MySQL Deep Learning Intermediate Neutral NLP",69,4
3.14,"Network Security, Ethical Hacking",Cybersecurity,Beginner,Ambivert,24,4,5,Blockchain Prediction Model,Implements a blockchain system to solve real-world problems in academic settings.,Blockchain,"Network Security, Ethical Hacking Cybersecurity Beginner Ambivert Blockchain",20,4
3.63,"JavaScript, React, Node.js, MongoDB",Full Stack,Intermediate,Neutral,19,4,4,Threat Detection Analytics Platform,Creates an innovative cybersecurity application with modern technologies and best practices.,Cybersecurity,"JavaScript, React, Node.js, MongoDB Full Stack Intermediate Neutral Cybersecurity",75,4
3.55,"HTML, CSS, JS, PHP",Mobile + AI,Advanced,Extrovert,14,4,4,Energy Monitoring Chatbot Assistant,Implements a iot system to solve real-world problems in academic settings.,IoT,"HTML, CSS, JS, PHP Mobile + AI Advanced Extrovert IoT",58,4
3.28,"HTML, CSS, JS, PHP",DevOps,Intermediate,Introvert,17,4,2,Blockchain Optimization Tool,Prototypes a cutting-edge blockchain application using emerging technologies.,Blockchain,"HTML, CSS, JS, PHP DevOps Intermediate Introvert Blockchain",5,4
3.57,"Python, Django, PostgreSQL",Mobile + AI,Intermediate,Introvert,24,2,3,Automated AI Framework,Constructs a robust ai & nlp framework for scalable and efficient performance.,AI & NLP,"Python, Django, PostgreSQL Mobile + AI Intermediate Introvert AI & NLP",31,4
2.86,"Java, Spring Boot, MySQL",Web Development,Beginner,Extrovert,10,3,4,Blockchain Detection System,Designs and develops a blockchain tool to enhance learning and collaboration.,Blockchain,"Java, Spring Boot, MySQL Web Development Beginner Extrovert Blockchain",2,4
2.35,"JavaScript, React, Node.js, MongoDB",DevOps,Intermediate,Introvert,23,4,2,Data Privacy Chatbot Assistant,Designs and develops a cybersecurity tool to enhance learning and collaboration.,Cybersecurity,"JavaScript, React, Node.js, MongoDB DevOps Intermediate Introvert Cybersecurity",58,4
2.56,"HTML, CSS, JS, PHP",Web Development,Intermediate,Introvert,23,2,2,Blockchain Chatbot Assistant,Prototypes a cutting-edge blockchain application using emerging technologies.,Blockchain,"HTML, CSS, JS, PHP Web Development Intermediate Introvert Blockchain",5,4
3.18,"HTML, CSS, JS, PHP",DevOps,Intermediate,Neutral,14,4,5,Real-time Campus Navigation Monitor,Implements a mobile development system to solve real-world problems in academic settings.,Mobile Development,"HTML, CSS, JS, PHP DevOps Intermediate Neutral Mobile Development",55,4
2.67,"JavaScript, React, Node.js, MongoDB",Web Development,Beginner,Extrovert,10,4,3,Smart Home Management Dashboard,Engineers a secure iot solution with focus on data privacy and integrity.,IoT,"JavaScript, React, Node.js, MongoDB Web Development Beginner Extrovert IoT",1,4
3.33,"JavaScript, React, Node.js, MongoDB",Full Stack,Intermediate,Introvert,24,2,4,Intelligent Network Monitoring Solution,Creates an innovative cybersecurity application with modern technologies and best practices.,Cybersecurity,"JavaScript, React, Node.js, MongoDB Full Stack Intermediate Introvert Cybersecurity",75,4
2.97,"Java, Spring Boot, MySQL",Deep Learning,Intermediate,Neutral,16,3,2,E-commerce Optimization Tool,Prototypes a cutting-edge web application application using emerging technologies.,Web Application,"Java, Spring Boot, MySQL Deep Learning Intermediate Neutral Web Application",68,4
3.49,"Python, Django, PostgreSQL",Deep Learning,Beginner,Ambivert,9,3,2,Student Performance Analytics Platform,Implements a data science system to solve real-world problems in academic settings.,Data Science,"Python, Django, PostgreSQL Deep Learning Beginner Ambivert Data Science",4,4
3.23,"HTML, CSS, JS, PHP",Natural Language Processing,Intermediate,Extrovert,13,3,5,Automated AR/VR Framework,Designs and develops a ar/vr tool to enhance learning and collaboration.,AR/VR,"HTML, CSS, JS, PHP Natural Language Processing Intermediate Extrovert AR/VR",60,4
2.98,"Unity, C#, 3D Modeling",Game Development,Beginner,Ambivert,10,3,5,AI-Based Cost Management System,Prototypes a cutting-edge cloud application using emerging technologies.,Cloud,"Unity, C#, 3D Modeling Game Development Beginner Ambivert Cloud",6,4
3.54,"Python, Deep Learning, PyTorch",AI & Data,Advanced,Neutral,18,2,2,Agriculture Recommendation System,Engineers a secure iot solution with focus on data privacy and integrity.,IoT,"Python, Deep Learning, PyTorch AI & Data Advanced Neutral IoT",44,4
3.74,"Cryptography, Python",Cybersecurity,Beginner,Ambivert,20,3,2,Sentiment Analysis Chatbot Assistant,Creates an innovative nlp application with modern technologies and best practices.,NLP,"Cryptography, Python Cybersecurity Beginner Ambivert NLP",59,4
3.08,"Python, Django, PostgreSQL",Full Stack,Beginner,Introvert,20,2,5,Web Design Project 129,Builds a comprehensive web design platform with user-friendly interface and advanced features.,Web Design,"Python, Django, PostgreSQL Full Stack Beginner Introvert Web Design",66,4
3.56,"Swift, iOS Development",Mobile Apps,Intermediate,Ambivert,24,3,2,Real-time Network Monitoring Monitor,Prototypes a cutting-edge cybersecurity application using emerging technologies.,Cybersecurity,"Swift, iOS Development Mobile Apps Intermediate Ambivert Cybersecurity",29,4
3.08,"Unreal Engine, C++, Game Design",Game Development,Beginner,Extrovert,13,3,4,Sentiment Analysis Optimization Tool,Engineers a secure nlp solution with focus on data privacy and integrity.,NLP,"Unreal Engine, C++, Game Design Game Development Beginner Extrovert NLP",11,4
3.45,"Java, Spring Boot, MySQL",Mobile + AI,Beginner,Ambivert,24,4,2,AI Detection System,Prototypes a cutting-edge ai & nlp application using emerging technologies.,AI & NLP,"Java, Spring Boot, MySQL Mobile + AI Beginner Ambivert AI & NLP",56,4
3.4,"Python, Django, PostgreSQL",Natural Language Processing,Beginner,Ambivert,19,2,2,Agriculture Optimization Tool,Constructs a robust iot framework for scalable and efficient performance.,IoT,"Python, Django, PostgreSQL Natural Language Processing Beginner Ambivert IoT",48,4
3.07,"JavaScript, React, Node.js, MongoDB",Deep Learning,Intermediate,Introvert,13,4,3,Intelligent AR/VR Solution,Prototypes a cutting-edge ar/vr application using emerging technologies.,AR/VR,"JavaScript, React, Node.js, MongoDB Deep Learning Intermediate Introvert AR/VR",61,4
3.46,"Python, Django, PostgreSQL",Web Development,Intermediate,Introvert,21,2,2,AR/VR Management Dashboard,Prototypes a cutting-edge ar/vr application using emerging technologies.,AR/VR,"Python, Django, PostgreSQL Web Development Intermediate Introvert AR/VR",40,4
3.58,"Cryptography, Python",Cybersecurity,Intermediate,Extrovert,19,3,5,Game Recommendation System,Implements a game dev system to solve real-world problems in academic settings.,Game Dev,"Cryptography, Python Cybersecurity Intermediate Extrovert Game Dev",67,4
3.24,"Java, Spring Boot, MySQL",DevOps,Intermediate,Neutral,11,2,3,AI & NLP Project 137,Develops a ai & nlp solution for educational purposes using Java.,AI & NLP,"Java, Spring Boot, MySQL DevOps Intermediate Neutral AI & NLP",3,4
2.76,"Python, Django, PostgreSQL",Frontend Design,Intermediate,Extrovert,24,4,2,Blockchain Project 138,Constructs a robust blockchain framework for scalable and efficient performance.,Blockchain,"Python, Django, PostgreSQL Frontend Design Intermediate Extrovert Blockchain",50,4
4.0,"Python, Django, PostgreSQL",Web Development,Beginner,Extrovert,24,4,4,AR/VR Optimization Tool,Constructs a robust ar/vr framework for scalable and efficient performance.,AR/VR,"Python, Django, PostgreSQL Web Development Beginner Extrovert AR/VR",40,4
3.56,"SQL, Excel, Tableau",Data Analytics,Intermediate,Neutral,16,3,5,Market Analysis Prediction Model,Builds a comprehensive data science platform with user-friendly interface and advanced features.,Data Science,"SQL, Excel, Tableau Data Analytics Intermediate Neutral Data Science",30,4
3.07,"SIEM Tools, Risk Assessment",Cybersecurity,Beginner,Ambivert,11,3,3,Web Development Project 141,Engineers a secure web development solution with focus on data privacy and integrity.,Web Development,"SIEM Tools, Risk Assessment Cybersecurity Beginner Ambivert Web Development",12,4
3.74,"HTML, CSS, JS, PHP",Deep Learning,Intermediate,Neutral,12,2,4,Automated Sentiment Analysis Framework,Implements a nlp system to solve real-world problems in academic settings.,NLP,"HTML, CSS, JS, PHP Deep Learning Intermediate Neutral NLP",72,4
3.1,"Python, Deep Learning, PyTorch",AI & Data,Intermediate,Ambivert,12,3,5,AI-Based Game System,Implements a game dev system to solve real-world problems in academic settings.,Game Dev,"Python, Deep Learning, PyTorch AI & Data Intermediate Ambivert Game Dev",44,4
3.38,"ML, Forecasting",Data Analytics,Beginner,Introvert,11,3,4,Learning Management Detection System,Engineers a secure web application solution with focus on data privacy and integrity.,Web Application,"ML, Forecasting Data Analytics Beginner Introvert Web Application",37,4
3.56,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Beginner,Neutral,15,2,4,Intelligent Object Detection Solution,Prototypes a cutting-edge computer vision application using emerging technologies.,Computer Vision,"JavaScript, React, Node.js, MongoDB Natural Language Processing Beginner Neutral Computer Vision",78,4
2.67,"Swift, iOS Development",Mobile Apps,Intermediate,Neutral,21,3,3,Web Design Project 146,Designs and develops a web design tool to enhance learning and collaboration.,Web Design,"Swift, iOS Development Mobile Apps Intermediate Neutral Web Design",28,4
3.31,"AWS, Docker, Kubernetes",Cloud Computing,Beginner,Extrovert,17,3,3,Blockchain Project 147,Designs and develops a blockchain tool to enhance learning and collaboration.,Blockchain,"AWS, Docker, Kubernetes Cloud Computing Beginner Extrovert Blockchain",7,4
3.26,"Python, ML, Data Science, TensorFlow",AI & Data,Intermediate,Introvert,22,4,3,Game Optimization Tool,Designs and develops a game dev tool to enhance learning and collaboration.,Game Dev,"Python, ML, Data Science, TensorFlow AI & Data Intermediate Introvert Game Dev",19,4
3.17,"JavaScript, React, Node.js, MongoDB",Mobile + AI,Intermediate,Extrovert,12,3,4,AI-Based Energy Monitoring System,Implements a iot system to solve real-world problems in academic settings.,IoT,"JavaScript, React, Node.js, MongoDB Mobile + AI Intermediate Extrovert IoT",54,4
3.12,"HTML, CSS, JS, PHP",DevOps,Beginner,Ambivert,18,3,3,AI & NLP Project 150,Engineers a secure ai & nlp solution with focus on data privacy and integrity.,AI & NLP,"HTML, CSS, JS, PHP DevOps Beginner Ambivert AI & NLP",42,4
3.05,"Circuit Design, Sensors",IoT & Hardware,Beginner,Neutral,18,3,3,Smart E-commerce Platform,Creates an innovative web application application with modern technologies and best practices.,Web Application,"Circuit Design, Sensors IoT & Hardware Beginner Neutral Web Application",25,4
4.0,"Python, Django, PostgreSQL",Frontend Design,Intermediate,Extrovert,15,3,3,AI-Based Campus Navigation System,Implements a mobile development system to solve real-world problems in academic settings.,Mobile Development,"Python, Django, PostgreSQL Frontend Design Intermediate Extrovert Mobile Development",50,4
3.64,"HTML, CSS, JS, PHP",DevOps,Beginner,Neutral,16,2,2,Intelligent AI Solution,Constructs a robust ai & nlp framework for scalable and efficient performance.,AI & NLP,"HTML, CSS, JS, PHP DevOps Beginner Neutral AI & NLP",43,4
4.0,"Java, Spring Boot, MySQL",Web Development,Advanced,Introvert,20,4,2,Real-time Health Prediction Monitor,Develops a data science solution for educational purposes using Java.,Data Science,"Java, Spring Boot, MySQL Web Development Advanced Introvert Data Science",35,4
3.74,"Python, Django, PostgreSQL",Mobile + AI,Intermediate,Introvert,8,2,5,Real-time Object Detection Monitor,Implements a computer vision system to solve real-world problems in academic settings.,Computer Vision,"Python, Django, PostgreSQL Mobile + AI Intermediate Introvert Computer Vision",49,4
2.72,"HTML, CSS, JS, PHP",Deep Learning,Intermediate,Neutral,21,2,4,Smart Smart Home Platform,Builds a comprehensive iot platform with user-friendly interface and advanced features.,IoT,"HTML, CSS, JS, PHP Deep Learning Intermediate Neutral IoT",39,4
2.74,"Circuit Design, Sensors",IoT & Hardware,Intermediate,Neutral,23,4,3,Blockchain Project 157,Prototypes a cutting-edge blockchain application using emerging technologies.,Blockchain,"Circuit Design, Sensors IoT & Hardware Intermediate Neutral Blockchain",26,4
2.64,"MQTT, Cloud IoT",IoT & Hardware,Intermediate,Ambivert,10,3,5,Blockchain Project 158,Constructs a robust blockchain framework for scalable and efficient performance.,Blockchain,"MQTT, Cloud IoT IoT & Hardware Intermediate Ambivert Blockchain",36,4
3.39,"JavaScript, React, Node.js, MongoDB",Frontend Design,Intermediate,Ambivert,16,3,2,Data Privacy Recommendation System,Prototypes a cutting-edge cybersecurity application using emerging technologies.,Cybersecurity,"JavaScript, React, Node.js, MongoDB Frontend Design Intermediate Ambivert Cybersecurity",74,4
3.85,"Python, R, SQL, Statistics",AI & Data,Beginner,Introvert,11,4,3,AI & NLP Project 160,Engineers a secure ai & nlp solution with focus on data privacy and integrity.,AI & NLP,"Python, R, SQL, Statistics AI & Data Beginner Introvert AI & NLP",38,4
2.69,"JavaScript, React, Node.js, MongoDB",DevOps,Intermediate,Introvert,9,4,4,Smart Environmental Sensing Platform,Creates an innovative iot application with modern technologies and best practices.,IoT,"JavaScript, React, Node.js, MongoDB DevOps Intermediate Introvert IoT",59,4
3.41,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Neutral,14,3,4,Event Management Recommendation System,Creates an innovative mobile development application with modern technologies and best practices.,Mobile Development,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Neutral Mobile Development",70,4
3.37,"Swift, iOS Development",Mobile Apps,Intermediate,Introvert,16,2,4,Web Development Project 163,Constructs a robust web development framework for scalable and efficient performance.,Web Development,"Swift, iOS Development Mobile Apps Intermediate Introvert Web Development",29,4
3.4,"Java, Spring Boot, MySQL",Natural Language Processing,Advanced,Neutral,24,4,3,Web Design Project 164,Implements a web design system to solve real-world problems in academic settings.,Web Design,"Java, Spring Boot, MySQL Natural Language Processing Advanced Neutral Web Design",47,4
3.33,"SQL, Excel, Tableau",Data Analytics,Intermediate,Neutral,15,4,5,Automated Object Detection Framework,Builds a comprehensive computer vision platform with user-friendly interface and advanced features.,Computer Vision,"SQL, Excel, Tableau Data Analytics Intermediate Neutral Computer Vision",30,4
3.61,"JavaScript, React, Node.js, MongoDB",Web Development,Beginner,Introvert,20,3,2,Energy Monitoring Analytics Platform,Develops a iot solution for educational purposes using JavaScript.,IoT,"JavaScript, React, Node.js, MongoDB Web Development Beginner Introvert IoT",0,4
2.96,"Java, Spring Boot, MySQL",Full Stack,Intermediate,Introvert,10,3,4,Web Development Project 167,Implements a web development system to solve real-world problems in academic settings.,Web Development,"Java, Spring Boot, MySQL Full Stack Intermediate Introvert Web Development",62,4
2.66,"Python, Django, PostgreSQL",Web Development,Beginner,Ambivert,17,2,3,AI & NLP Project 168,Builds a comprehensive ai & nlp platform with user-friendly interface and advanced features.,AI & NLP,"Python, Django, PostgreSQL Web Development Beginner Ambivert AI & NLP",32,4
3.27,"Unity, C#, 3D Modeling",Game Development,Intermediate,Introvert,13,2,4,Blockchain Project 169,Develops a blockchain solution for educational purposes using Unity.,Blockchain,"Unity, C#, 3D Modeling Game Development Intermediate Introvert Blockchain",6,4
3.49,"Azure, Terraform, CI/CD",Cloud Computing,Beginner,Extrovert,23,4,2,Study Assistant Detection System,Prototypes a cutting-edge mobile development application using emerging technologies.,Mobile Development,"Azure, Terraform, CI/CD Cloud Computing Beginner Extrovert Mobile Development",15,4
3.47,"Flutter, Dart, Firebase",Mobile Apps,Intermediate,Introvert,14,3,4,Intelligent Environmental Sensing Solution,Implements a iot system to solve real-world problems in academic settings.,IoT,"Flutter, Dart, Firebase Mobile Apps Intermediate Introvert IoT",10,4
3.78,"Azure, Terraform, CI/CD",Cloud Computing,Intermediate,Neutral,12,3,4,Learning Management Management Dashboard,Engineers a secure web application solution with focus on data privacy and integrity.,Web Application,"Azure, Terraform, CI/CD Cloud Computing Intermediate Neutral Web Application",16,4
3.34,"Python, ML, Data Science, TensorFlow",AI & Data,Beginner,Extrovert,12,3,5,AI-Based Study Assistant System,Develops a mobile development solution for educational purposes using Python.,Mobile Development,"Python, ML, Data Science, TensorFlow AI & Data Beginner Extrovert Mobile Development",18,4
2.85,"GCP, Microservices, Serverless",Cloud Computing,Intermediate,Neutral,11,3,5,Real-time Game Monitor,Creates an innovative game dev application with modern technologies and best practices.,Game Dev,"GCP, Microservices, Serverless Cloud Computing Intermediate Neutral Game Dev",24,4
3.41,"ML, Forecasting",Data Analytics,Intermediate,Introvert,8,3,5,AI-Based AR/VR System,Creates an innovative ar/vr application with modern technologies and best practices.,AR/VR,"ML, Forecasting Data Analytics Intermediate Introvert AR/VR",38,4
3.38,"Java, Spring Boot, MySQL",Web Development,Beginner,Neutral,18,4,3,Market Analysis Optimization Tool,Prototypes a cutting-edge data science application using emerging technologies.,Data Science,"Java, Spring Boot, MySQL Web Development Beginner Neutral Data Science",35,4
3.45,"HTML, CSS, JS, PHP",Full Stack,Advanced,Extrovert,19,3,4,Environmental Sensing Chatbot Assistant,Develops a iot solution for educational purposes using HTML.,IoT,"HTML, CSS, JS, PHP Full Stack Advanced Extrovert IoT",58,4
3.2,"Unity, C#, 3D Modeling",Game Development,Beginner,Extrovert,12,4,2,Health Prediction Detection System,Builds a comprehensive data science platform with user-friendly interface and advanced features.,Data Science,"Unity, C#, 3D Modeling Game Development Beginner Extrovert Data Science",63,4
3.57,"GCP, Microservices, Serverless",Cloud Computing,Beginner,Extrovert,15,4,3,Web Development Project 179,Builds a comprehensive web development platform with user-friendly interface and advanced features.,Web Development,"GCP, Microservices, Serverless Cloud Computing Beginner Extrovert Web Development",24,4
3.76,"GCP, Microservices, Serverless",Cloud Computing,Advanced,Neutral,23,3,4,AI-Based Data Privacy System,Creates an innovative cybersecurity application with modern technologies and best practices.,Cybersecurity,"GCP, Microservices, Serverless Cloud Computing Advanced Neutral Cybersecurity",23,4
3.06,"Cryptography, Python",Cybersecurity,Intermediate,Neutral,19,4,3,Face Recognition Prediction Model,Implements a computer vision system to solve real-world problems in academic settings.,Computer Vision,"Cryptography, Python Cybersecurity Intermediate Neutral Computer Vision",33,4
2.79,"HTML, CSS, JS, PHP",Mobile + AI,Beginner,Ambivert,19,2,4,E-commerce Management Dashboard,Constructs a robust web application framework for scalable and efficient performance.,Web Application,"HTML, CSS, JS, PHP Mobile + AI Beginner Ambivert Web Application",42,4
3.79,"Java, Spring Boot, MySQL",Frontend Design,Intermediate,Neutral,18,3,3,Cost Management Analytics Platform,Builds a comprehensive cloud platform with user-friendly interface and advanced features.,Cloud,"Java, Spring Boot, MySQL Frontend Design Intermediate Neutral Cloud",51,4
3.24,"Unity, C#, 3D Modeling",Game Development,Beginner,Extrovert,22,4,4,Intelligent Project Management Solution,Prototypes a cutting-edge web application application using emerging technologies.,Web Application,"Unity, C#, 3D Modeling Game Development Beginner Extrovert Web Application",64,4
2.91,"C++, Arduino, Raspberry Pi",IoT & Hardware,Intermediate,Neutral,14,4,2,Smart Home Prediction Model,Creates an innovative iot application with modern technologies and best practices.,IoT,"C++, Arduino, Raspberry Pi IoT & Hardware Intermediate Neutral IoT",14,4
2.59,"JavaScript, React, Node.js, MongoDB",Frontend Design,Intermediate,Ambivert,11,4,5,Smart Vulnerability Assessment Platform,Develops a cybersecurity solution for educational purposes using JavaScript.,Cybersecurity,"JavaScript, React, Node.js, MongoDB Frontend Design Intermediate Ambivert Cybersecurity",74,4
3.97,"Python, Django, PostgreSQL",Full Stack,Beginner,Introvert,20,2,5,Real-time Health Tracking Monitor,Develops a mobile development solution for educational purposes using Python.,Mobile Development,"Python, Django, PostgreSQL Full Stack Beginner Introvert Mobile Development",66,4
3.46,"Java, Spring Boot, MySQL",DevOps,Intermediate,Neutral,18,4,4,Web Design Project 188,Creates an innovative web design application with modern technologies and best practices.,Web Design,"Java, Spring Boot, MySQL DevOps Intermediate Neutral Web Design",2,4
2.69,"Python, Pandas, Power BI",Data Analytics,Beginner,Introvert,11,2,3,Text Summarization Prediction Model,Prototypes a cutting-edge nlp application using emerging technologies.,NLP,"Python, Pandas, Power BI Data Analytics Beginner Introvert NLP",22,4
3.81,"Python, Django, PostgreSQL",Mobile + AI,Intermediate,Extrovert,9,4,3,Intelligent Sentiment Analysis Solution,Prototypes a cutting-edge nlp application using emerging technologies.,NLP,"Python, Django, PostgreSQL Mobile + AI Intermediate Extrovert NLP",32,4
3.75,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Introvert,23,2,5,Blockchain Project 191,Engineers a secure blockchain solution with focus on data privacy and integrity.,Blockchain,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Introvert Blockchain",23,4
3.04,"Python, Django, PostgreSQL",Natural Language Processing,Intermediate,Introvert,16,3,5,Agriculture Analytics Platform,Designs and develops a iot tool to enhance learning and collaboration.,IoT,"Python, Django, PostgreSQL Natural Language Processing Intermediate Introvert IoT",48,4
3.59,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Intermediate,Ambivert,17,4,3,Intelligent Threat Detection Solution,Designs and develops a cybersecurity tool to enhance learning and collaboration.,Cybersecurity,"JavaScript, React, Node.js, MongoDB Natural Language Processing Intermediate Ambivert Cybersecurity",70,4
3.97,"MQTT, Cloud IoT",IoT & Hardware,Intermediate,Introvert,12,3,3,Study Assistant Chatbot Assistant,Creates an innovative mobile development application with modern technologies and best practices.,Mobile Development,"MQTT, Cloud IoT IoT & Hardware Intermediate Introvert Mobile Development",37,4
3.34,"React Native, JavaScript",Mobile Apps,Beginner,Extrovert,19,4,2,Campus Navigation Prediction Model,Builds a comprehensive mobile development platform with user-friendly interface and advanced features.,Mobile Development,"React Native, JavaScript Mobile Apps Beginner Extrovert Mobile Development",77,4
3.36,"Python, Embedded Systems",IoT & Hardware,Beginner,Extrovert,14,3,4,Automated Game Framework,Develops a game dev solution for educational purposes using Python.,Game Dev,"Python, Embedded Systems IoT & Hardware Beginner Extrovert Game Dev",27,4
3.09,"React Native, JavaScript",Mobile Apps,Advanced,Extrovert,11,4,2,Cost Management Chatbot Assistant,Engineers a secure cloud solution with focus on data privacy and integrity.,Cloud,"React Native, JavaScript Mobile Apps Advanced Extrovert Cloud",34,4
3.29,"HTML, CSS, JS, PHP",Web Development,Intermediate,Ambivert,22,4,2,Data Privacy Prediction Model,Constructs a robust cybersecurity framework for scalable and efficient performance.,Cybersecurity,"HTML, CSS, JS, PHP Web Development Intermediate Ambivert Cybersecurity",53,4
3.62,"JavaScript, React, Node.js, MongoDB",Mobile + AI,Intermediate,Introvert,19,2,2,AI & NLP Project 199,Develops a ai & nlp solution for educational purposes using JavaScript.,AI & NLP,"JavaScript, React, Node.js, MongoDB Mobile + AI Intermediate Introvert AI & NLP",54,4
2.8,"Java, Spring Boot, MySQL",Web Development,Beginner,Neutral,17,2,2,Real-time Social Media Monitor,Develops a web application solution for educational purposes using Java.,Web Application,"Java, Spring Boot, MySQL Web Development Beginner Neutral Web Application",69,4
3.12,"JavaScript, React, Node.js, MongoDB",Deep Learning,Intermediate,Extrovert,22,4,3,Game Chatbot Assistant,Designs and develops a game dev tool to enhance learning and collaboration.,Game Dev,"JavaScript, React, Node.js, MongoDB Deep Learning Intermediate Extrovert Game Dev",48,4
4.0,"React Native, JavaScript",Mobile Apps,Beginner,Neutral,22,2,4,Web Development Project 202,Engineers a secure web development solution with focus on data privacy and integrity.,Web Development,"React Native, JavaScript Mobile Apps Beginner Neutral Web Development",76,4
3.72,"Python, Django, PostgreSQL",Web Development,Intermediate,Ambivert,19,3,5,Automated Financial Forecasting Framework,Develops a data science solution for educational purposes using Python.,Data Science,"Python, Django, PostgreSQL Web Development Intermediate Ambivert Data Science",0,4
3.5,"Flutter, Dart, Firebase",Mobile Apps,Intermediate,Neutral,22,4,5,Blockchain Project 204,Prototypes a cutting-edge blockchain application using emerging technologies.,Blockchain,"Flutter, Dart, Firebase Mobile Apps Intermediate Neutral Blockchain",10,4
3.84,"Network Security, Ethical Hacking",Cybersecurity,Intermediate,Neutral,16,4,3,Web Design Project 205,Creates an innovative web design application with modern technologies and best practices.,Web Design,"Network Security, Ethical Hacking Cybersecurity Intermediate Neutral Web Design",20,4
2.98,"Java, Spring Boot, MySQL",DevOps,Intermediate,Extrovert,16,4,3,Automated Social Media Framework,Develops a web application solution for educational purposes using Java.,Web Application,"Java, Spring Boot, MySQL DevOps Intermediate Extrovert Web Application",2,4
3.83,"AWS, Docker, Kubernetes",Cloud Computing,Beginner,Introvert,10,3,3,Automated Agriculture Framework,Creates an innovative iot application with modern technologies and best practices.,IoT,"AWS, Docker, Kubernetes Cloud Computing Beginner Introvert IoT",8,4
3.25,"JavaScript, React, Node.js, MongoDB",DevOps,Beginner,Extrovert,16,3,4,Project Management Recommendation System,Develops a web application solution for educational purposes using JavaScript.,Web Application,"JavaScript, React, Node.js, MongoDB DevOps Beginner Extrovert Web Application",1,4
4.0,"Python, ML, Data Science, TensorFlow",AI & Data,Intermediate,Neutral,10,2,5,Smart AR/VR Platform,Creates an innovative ar/vr application with modern technologies and best practices.,AR/VR,"Python, ML, Data Science, TensorFlow AI & Data Intermediate Neutral AR/VR",19,4
2.65,"HTML, CSS, JS, PHP",Deep Learning,Beginner,Neutral,13,2,5,Game Management Dashboard,Implements a game dev system to solve real-world problems in academic settings.,Game Dev,"HTML, CSS, JS, PHP Deep Learning Beginner Neutral Game Dev",41,4
3.1,"React Native, JavaScript",Mobile Apps,Advanced,Extrovert,16,3,5,Real-time AR/VR Monitor,Implements a ar/vr system to solve real-world problems in academic settings.,AR/VR,"React Native, JavaScript Mobile Apps Advanced Extrovert AR/VR",35,4
3.88,"SIEM Tools, Risk Assessment",Cybersecurity,Beginner,Introvert,21,3,3,Health Tracking Management Dashboard,Constructs a robust mobile development framework for scalable and efficient performance.,Mobile Development,"SIEM Tools, Risk Assessment Cybersecurity Beginner Introvert Mobile Development",13,4
3.4,"Python, Django, PostgreSQL",DevOps,Intermediate,Extrovert,21,4,3,Web Design Project 213,Constructs a robust web design framework for scalable and efficient performance.,Web Design,"Python, Django, PostgreSQL DevOps Intermediate Extrovert Web Design",57,4
3.27,"C++, Arduino, Raspberry Pi",IoT & Hardware,Beginner,Extrovert,16,4,2,Student Performance Detection System,Constructs a robust data science framework for scalable and efficient performance.,Data Science,"C++, Arduino, Raspberry Pi IoT & Hardware Beginner Extrovert Data Science",14,4
2.66,"Cryptography, Python",Cybersecurity,Intermediate,Extrovert,11,4,5,E-commerce Analytics Platform,Constructs a robust web application framework for scalable and efficient performance.,Web Application,"Cryptography, Python Cybersecurity Intermediate Extrovert Web Application",66,4
3.61,"JavaScript, React, Node.js, MongoDB",Natural Language Processing,Advanced,Neutral,23,2,3,Automated Image Classification Framework,Implements a computer vision system to solve real-world problems in academic settings.,Computer Vision,"JavaScript, React, Node.js, MongoDB Natural Language Processing Advanced Neutral Computer Vision",78,4
3.01,"Flutter, Dart, Firebase",Mobile Apps,Intermediate,Extrovert,16,3,2,Intelligent Campus Navigation Solution,Creates an innovative mobile development application with modern technologies and best practices.,Mobile Development,"Flutter, Dart, Firebase Mobile Apps Intermediate Extrovert Mobile Development",9,4
3.31,"HTML, CSS, JS, PHP",Frontend Design,Intermediate,Introvert,22,3,5,Blockchain Project 218,Designs and develops a blockchain tool to enhance learning and collaboration.,Blockchain,"HTML, CSS, JS, PHP Frontend Design Intermediate Introvert Blockchain",5,4
3.22,"Python, Pandas, Power BI",Data Analytics,Beginner,Introvert,24,2,5,Web Development Project 219,Builds a comprehensive web development platform with user-friendly interface and advanced features.,Web Development,"Python, Pandas, Power BI Data Analytics Beginner Introvert Web Development",22,4
